CustomerID,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Predicted Churn
54332,1.0,0,3,7.0,1,0,4.0,6,4,5,2,2,0,22.0,2.0,2.0,1.0,148.25,1
50912,0.0,0,1,8.0,4,1,3.0,3,4,1,0,7,1,13.0,2.0,2.0,2.0,137.22,1
54457,1.0,2,1,10.0,4,1,3.0,4,4,3,2,3,0,14.0,2.0,2.0,1.0,139.2,1
54285,1.0,1,3,13.0,4,1,4.0,6,2,3,1,6,1,19.0,1.0,8.0,8.0,186.72,1
54913,1.0,1,1,23.0,4,0,3.0,2,4,5,2,3,0,17.0,4.0,16.0,15.0,152.43,1
53397,4.0,0,3,31.0,4,0,4.0,2,1,4,2,6,1,17.0,2.0,3.0080044676098288,1.0,256.94,1
51781,0.0,1,1,21.0,3,1,2.0,3,0,3,1,8,1,12.0,3.0,3.0080044676098288,7.0,236.1,1
50080,1.0,1,1,35.0,3,1,3.0,3,2,5,0,8,1,19.0,0.0,1.0,0.0,166.73,1
50024,0.0,2,3,26.0,4,0,3.0,5,2,3,0,4,1,11.0,1.0,2.0,2.0,145.59,1
52482,0.0,2,1,15.639895891429633,0,1,2.0,3,3,4,1,2,1,17.0,0.0,1.0,0.0,124.08,1
53048,1.0,0,3,7.0,1,0,3.0,5,4,4,2,3,1,12.0,2.0,2.0,3.0,146.74,1
55218,1.0,0,3,20.0,1,0,3.0,4,2,4,2,7,0,12.0,2.0,2.0,1.0,182.65,1
54937,1.0,0,3,16.0,5,0,3.0,4,4,1,2,3,1,15.0,2.0,2.0,3.0,148.23,1
54003,1.0,1,2,25.0,6,1,3.0,2,4,5,1,2,0,18.0,2.0,2.0,1.0,154.56,1
54940,15.0,1,1,11.0,4,1,3.0,4,4,3,1,11,1,13.0,1.0,3.0,8.0,149.61,1
53134,1.0,0,1,11.0,1,1,3.0,5,4,3,2,7,0,17.0,2.0,2.0,3.0,163.94,1
50297,0.0,2,1,15.639895891429633,1,0,3.0,4,3,4,0,6,0,16.0,0.0,1.0,1.0,125.46,1
50725,6.0,1,3,15.0,5,0,2.0,5,2,3,2,9,0,13.0,1.0,1.0,3.0,153.46,1
50009,13.0,2,3,9.0,5,1,2.9315348837209303,4,3,3,0,2,1,14.0,0.0,1.0,2.0,126.83,1
54723,1.0,1,1,7.0,6,1,4.0,4,4,1,2,3,1,14.0,7.0,8.0,9.0,151.86,1
51457,0.0,0,1,13.0,4,1,3.0,5,2,3,2,2,1,24.0,1.0,1.0,6.0,160.74,1
50316,0.0,0,2,29.0,6,0,2.0,3,0,5,1,10,1,15.0,1.0,1.0,2.0,199.5,1
52423,0.0,2,1,15.639895891429633,1,1,3.0,4,3,5,2,7,0,13.0,1.0,1.0,7.0,123.62,1
54849,1.0,2,3,28.0,6,1,3.0,5,4,4,2,3,1,14.0,2.0,2.0,1.0,146.21,1
55136,19.0,1,3,20.0,5,1,3.0,2,1,3,2,8,1,18.0,1.7510234462225531,4.0,9.0,261.95,1
52595,0.0,2,3,15.0,5,0,2.9315348837209303,5,3,4,2,2,0,13.0,2.0,2.0,2.0,127.6,1
51935,0.0,2,1,15.639895891429633,4,0,2.0,4,3,5,1,2,1,11.0,0.0,1.0,0.0,123.19,1
55622,14.0,1,3,35.0,5,1,3.0,5,0,5,1,6,1,14.0,3.0,3.0080044676098288,1.0,233.54,1
53076,1.0,0,1,11.0,1,1,3.0,4,4,2,2,20,1,24.0,2.0,2.0,1.0,147.85,1
54263,1.0,0,1,13.0,4,0,4.0,5,4,1,2,3,1,19.0,1.0,2.0,1.0,154.26,1
50908,2.0,0,1,8.0,4,0,2.0,4,4,5,2,3,1,23.0,0.0,1.0,0.0,136.46,1
50298,0.0,2,2,15.639895891429633,1,1,2.0,4,3,2,2,2,0,12.0,1.0,1.0,0.0,125.64,1
52551,10.189899366380917,1,1,8.0,4,1,3.0,3,4,4,2,2,0,12.0,0.0,1.0,0.0,113.93,1
50016,10.189899366380917,2,2,12.0,6,1,3.0,3,3,5,1,5,1,22.0,1.0,1.0,2.0,120.73,1
50808,0.0,2,1,13.0,1,0,2.0,3,3,3,1,4,1,13.0,1.0,7.0,7.0,133.39,1
52603,0.0,1,3,22.0,5,1,3.0,3,0,3,1,3,0,13.0,0.0,1.0,0.0,181.61,1
50933,0.0,0,3,19.0,1,0,2.0,3,2,4,2,6,0,11.0,0.0,1.0,0.0,157.65,1
51245,0.0,1,3,19.0,5,0,2.0,3,2,3,2,4,1,11.0,2.0,2.0,2.0,198.54,1
50169,0.0,1,3,10.0,5,1,2.0,4,2,2,2,2,1,12.0,7.0,7.0,4.0,158.28,1
51122,10.189899366380917,0,2,14.0,6,0,3.0,4,3,1,1,7,0,11.0,1.0,1.0,2.0,121.8,1
54752,1.0,1,3,23.0,5,0,4.0,4,2,5,2,7,0,16.0,2.0,2.0,3.0,178.24,1
52188,0.0,2,1,15.639895891429633,4,0,3.0,3,3,1,1,2,1,11.0,1.0,1.0,0.0,125.15,1
54950,8.0,1,2,7.0,3,1,4.0,5,0,5,1,11,0,15.0,3.0,4.0,4.543490512868683,229.82,1
53126,1.0,1,1,22.0,3,1,3.0,4,0,3,0,9,1,13.0,1.7510234462225531,8.0,8.0,261.1,1
52278,0.0,2,1,13.0,1,0,2.0,3,3,3,1,4,1,13.0,4.0,7.0,7.0,133.39,1
53435,1.0,1,1,18.0,3,0,4.0,6,2,4,0,7,0,16.0,2.0,2.0,1.0,172.77,1
50882,0.0,0,1,34.0,4,1,3.0,4,2,5,2,4,0,20.0,0.0,1.0,3.0,142.84,1
50545,2.0,2,1,15.639895891429633,0,1,3.0,3,3,5,0,8,1,21.0,1.0,2.0,2.0,124.04,1
52678,0.0,0,1,15.639895891429633,4,1,3.0,4,3,1,2,2,1,24.0,1.0,1.0,0.0,124.39,1
53131,1.0,0,2,30.0,6,0,3.0,4,0,5,1,11,1,16.0,2.0,2.0,4.543490512868683,224.5,1
53928,1.0,1,3,7.0,4,1,3.0,6,2,4,2,8,0,16.0,1.0,2.0,1.0,192.35,1
55108,16.0,1,3,12.0,4,1,4.0,4,0,4,2,11,1,20.0,8.0,8.0,4.543490512868683,209.46,1
51189,0.0,2,2,15.639895891429633,6,1,2.0,4,3,5,1,5,1,15.0,1.0,2.0,0.0,123.35,1
